# RA           DEC         
  6.553208     10.673528   
  193.496125   10.215167   
  58.457292    23.414083   
  187.052292   -15.758583  
  196.769667   -23.647583  
  17.898625    -38.093361  
  354.594708   27.046611   
  275.487542   68.463944   
  325.039125   -23.644472  
  93.941458    71.012889   
  93.950542    71.013806   
  78.937833    1.054       
  231.500167   51.636667   
  331.26825    -1.905361   
  194.010875   25.917639   
  110.223458   71.133444   
  146.351875   -8.623694   
  196.425583   18.044194   
  229.683833   6.26175     
  338.604792   -37.719528  
  197.482583   32.4035     
  339.044333   33.972083   
  144.966083   35.928417   
  197.769667   27.496972   
  113.1215     85.679417   
  16.917917    -17.491639  
  129.606292   25.727833   
  132.042042   74.125944   
  346.211542   12.337722   
  21.170292    3.775194    
  132.008417   74.069278   
  241.069625   43.102778   
  145.0885     71.161278   
  114.843333   70.414111   
  233.707917   55.603139   
  114.853125   70.357389   
  100.429833   82.241861   
  100.213333   82.291583   
  193.630833   -29.114389  
  194.349792   -30.394972  
  8.5665       -5.560806   
  345.599292   8.625139    
  24.977958    -67.816167  
  352.94625    19.647667   
  196.299375   -10.322722  
  248.016333   37.657389   
  346.210792   3.178778    
  204.98825    -31.669389  
  54.642708    0.34475     
  35.689625    -3.849694   
  36.023292    -3.850028   
  36.689333    -3.850056   
  37.02275     -3.850222   
  35.523458    -3.516833   
  35.857292    -3.515861   
  36.143042    -3.484806   
  36.522333    -3.516972   
  36.809208    -3.483      
  35.642375    -3.150694   
  35.97675     -3.151139   
  36.309958    -3.149306   
  36.643417    -3.149389   
  36.977625    -3.149889   
  35.809917    -2.815639   
  36.47925     -2.813639   
  36.812292    -2.813806   
  35.312167    -4.479361   
  35.522708    -4.1845     
  35.189917    -4.18375    
  35.356       -3.850667   
  35.144917    -3.480722   
  35.311792    -3.147222   
  316.144958   -12.318222  
  160.115792   9.210306    
  233.19025    32.685611   
  233.222167   30.321778   
  45.681667    0.10825     
  150.163208   25.267028   
  150.042125   -19.611556  
  202.336792   11.79825    
  0.671917     -29.985472  
  3.552625     -30.362583  
  10.875042    -20.640194  
  38.037625    -44.330611  
  46.787125    -28.693972  
  79.180375    -54.482361  
  82.214667    -39.439639  
  172.988875   -19.953417  
  354.444667   0.259778    
  69.275042    0.748833    
  83.224625    -36.998722  
  8.529125     -21.427583  
  301.943417   -11.122111  
  301.984917   -11.162806  
  55.330167    -44.86125   
  145.926917   16.767306   
  176.536375   47.454361   
  33.774917    -74.010444  
  335.214208   -24.696139  
  177.761208   55.052139   
  248.597833   57.136139   
  248.599083   57.135611   
  6.675458     17.147306   
  81.304792    -33.732083  
  81.25875     -33.69375   
  191.651042   2.340306    
  211.58875    22.368056   
  171.175958   38.7895     
  31.935083    2.122056    
  162.467917   33.010056   
  355.001333   -12.306361  
  204.553042   48.250611   
  44.157917    0.08325     
  66.510708    16.940361   
  180.19525    -3.436361   
  190.387208   32.811139   
  197.132125   53.733222   
  339.273958   -15.28575   
  49.584667    -3.005583   
  184.8425     5.854556    
  247.942333   82.5525     
  222.378167   8.972583    
  193.224958   -29.423556  
  193.220083   -29.423972  
  140.515875   74.964611   
  242.784708   54.20275    
  242.78675    54.205528   
  159.965917   20.874583   
  235.985542   54.013361   
  192.312667   -6.017667   
  235.982083   54.012028   
  202.964125   11.306056   
  247.589917   78.19225    
  328.029167   -27.547389  
  59.70625     10.45375    
  59.747667    10.4155     
  10.653667    -9.702639   
  80.733375    -36.430111  
  148.029167   -1.777944   
  174.803917   17.09425    
  349.5425     0.284694    
  349.589417   0.249917    
  18.175083    -45.548167  
  39.61525     -52.210694  
  250.558875   3.206972    
  241.792917   8.104778    
  12.16825     31.970639   
  224.599083   -31.695806  
  83.421125    -24.157694  
  83.422083    -24.157167  
  9.3145       85.212806   
  152.207667   53.673472   
  165.906042   35.892722   
  205.696583   40.443722   
  239.846875   63.869667   
  148.415208   1.608833    
  148.428375   1.551333    
  187.847917   25.804444   
  139.95975    -7.566      
  208.979958   38.602611   
  241.329875   32.846278   
  241.333542   32.846278   
  241.327917   32.846      
  21.026375    33.184139   
  194.057667   56.844889   
  348.996208   -59.066194  
  314.581375   -42.633583  
  183.436875   2.839528    
  342.930833   -17.857472  
  292.767792   -72.635917  
  231.727542   36.002      
  219.417708   -15.03325   
  169.567917   7.794694    
  193.385667   15.736361   
  113.823292   43.764222   
  170.783917   5.533278    
  354.152417   21.128861   
  254.941417   32.588056   
  75.201208    -38.6435    
  313.555042   -15.910528  
  354.498542   -56.423833  
  302.679417   -87.938389  
  208.193833   69.292972   
  32.189083    35.370722   
  32.187958    35.369389   
  204.165167   51.885167   
  9.300292     9.137889    
  41.992667    -3.508556   
  139.479042   51.699167   
  154.262958   39.07675    
  49.985417    -62.455611  
  53.17275     -63.478417  
  133.888875   58.76175    
  132.293542   44.869083   
  132.268083   44.885611   
  132.313792   44.850667   
  152.794292   55.775861   
  80.272167    -25.387333  
  143.946292   61.378861   
  154.058958   52.183972   
  72.606292    -70.813306  
  51.391542    30.751583   
  197.19825    21.481056   
  179.472667   55.425      
  79.975917    -45.8045    
  26.516292    -39.375472  
  10.854792    0.837833    
  223.170333   16.772722   
  233.131417   4.655056    
  50.9845      -37.30325   
  94.4435      -32.891     
  94.438167    -33.391111  
  93.848625    -33.390389  
  93.847708    -32.891667  
  194.652208   -83.231306  
  194.661917   -83.731917  
  190.260083   -83.234778  
  127.907417   52.78125    
  127.943625   52.728056   
  212.338042   26.331194   
  212.349      26.333694   
  28.366458    -49.613583  
  206.005292   -27.204167  
  322.429875   0.074778    
  241.228167   23.960111   
  58.425333    -10.400861  
  157.164708   -8.767972   
  357.818625   20.111944   
  353.440792   -15.301111  
  40.250083    -8.236222   
  155.007125   8.198917    
  200.136125   34.165333   
  349.012708   -42.570028  
  334.4155     0.234083    
  334.415667   0.232972    
  64.197708    1.110639    
  79.070875    79.693111   
  121.109958   65.022667   
  209.012042   18.401194   
  121.383917   24.857917   
  59.32075     1.203333    
  164.253458   -3.652139   
  175.14075    66.165528   
  204.326417   24.355639   
  184.606833   29.78425    
  210.263208   2.85175     
  39.095792    -52.327222  
  53.893917    -25.759056  
  33.753083    -73.984583  
  202.688333   24.2595     
  202.686333   24.259167   
  233.106083   -8.559583   
  233.085667   -8.507556   
  357.453583   36.416528   
  357.3875     36.434111   
  337.103042   -5.298722   
  10.900167    85.316778   
  10.894125    85.317      
  1.608792     20.194889   
  66.033167    14.77825    
  253.259042   2.377722    
  206.134208   55.872083   
  253.229708   2.426417    
  233.746042   23.478      
  233.736292   23.533056   
  260.832417   34.327917   
  172.786958   31.263306   
  157.737333   31.074917   
  217.286      1.258361    
  14.626542    -36.086278  
  243.524      65.696083   
  322.277292   -15.6275    
  221.232875   29.291333   
  0.819042     -26.037833  
  327.955083   -30.448167  
  126.724417   26.597389   
  148.296458   7.898333    
  244.115667   12.233306   
  244.255542   12.432972   
  244.400292   12.643306   
  213.4575     43.975417   
  131.914625   34.778083   
  334.277958   14.257389   
  95.76575     -64.577667  
  339.208208   -22.203917  
  329.256375   -11.67575   
  229.174333   0.220472    
  20.1195      -44.140417  
  51.333292    -6.121417   
  334.804708   12.147833   
  359.335875   -30.448028  
  16.26575     -58.442472  
  68.802042    -78.003917  
  165.260208   11.019278   
  68.879917    -78.006417  
  72.90125     -3.78825    
  171.027542   6.243861    
  65.597       -38.755389  
  70.073417    -43.582111  
  185.404792   28.075944   
  300.826792   -32.842056  
  167.670875   48.492056   
  185.081167   6.66125     
  202.968208   -31.827528  
  203.201833   -31.841722  
  67.891583    -61.539528  
  200.05225    33.171778   
  187.714167   14.029417   
  187.715542   14.364056   
  187.715208   14.697083   
  187.711417   15.362889   
  187.710833   15.696083   
  187.710708   16.030528   
  187.710792   16.363444   
  187.71175    17.862528   
  187.712042   15.029472   
  145.743375   47.019556   
  333.90775    -17.748417  
  333.907292   -17.74925   
  333.907333   -17.749028  
  333.907083   -17.749056  
  333.904625   -17.749028  
  220.537833   35.467111   
  170.025958   43.272139   
  54.415458    -25.353361  
  205.451458   26.377444   
  358.514333   -10.383611  
  155.90925    4.216667    
  224.319875   22.313778   
  185.773792   10.647472   
  125.138458   21.0965     
  201.046125   13.948028   
  158.651875   39.613028   
  181.1765     27.874361   
  198.072125   35.227083   
  200.920833   65.671861   
  208.657083   18.059833   
  214.26525    44.962361   
  221.709458   40.559389   
  162.933417   33.962333   
  169.277792   44.197444   
  217.408042   47.764917   
  211.305708   25.953806   
  20.946208    -35.050278  
  279.534583   -65.408139  
  150.546375   -19.397972  
  151.889542   -20.264361  
  196.981292   53.887417   
  198.324042   -33.015806  
  217.356625   -38.040639  
  299.251833   -57.626444  
  305.628375   -39.884306  
  324.518583   -43.719361  
  238.192958   18.969444   
  35.855208    -4.185472   
  36.855833    -4.851194   
  36.5215      -4.85175    
  35.808375    -4.817528   
  35.688333    -4.519806   
  28.203625    -13.978139  
  203.655      37.883861   
  203.655      37.883778   
  203.654792   37.883889   
  26.385917    -4.595      
  26.338958    -4.561083   
  26.339083    -4.560833   
  21.412667    1.746694    
  21.412667    1.746833    
  21.406542    1.743306    
  54.672833    9.947167    
  239.057792   81.4995     
  210.385917   -11.101111  
  214.496625   25.164      
  136.50925    62.077833   
  171.498917   42.912111   
  164.96025    86.145917   
  244.880083   59.984333   
  75.285958    -24.444833  
  201.325875   -38.387333  
  13.373792    12.711972   
  25.006625    6.306167    
  218.891583   48.768639   
  197.734792   37.088083   
  218.871375   48.770139   
  204.62125    28.123833   
  157.96725    -14.254083  
  20.489208    -28.36625   
  197.447333   8.3025      
  340.1015     3.373667    
  48.26475     -55.039472  
  48.5405      -55.164083  
  48.5405      -55.250278  
  48.539917    -55.335889  
  48.691167    -55.07725   
  48.691125    -55.163278  
  48.693625    -55.249194  
  191.292917   -0.488333   
  59.825292    -67.629861  
  199.8445     -14.871139  
  39.681792    16.598861   
  186.833583   1.461667    
  4.662208     16.421667   
  4.66225      16.421667   
  193.115583   -29.274139  
  254.439083   35.366583   
  254.434542   35.363194   
  117.775917   18.153528   
  36.975292    -5.150528   
  36.642333    -5.150944   
  36.309667    -5.152306   
  35.975542    -5.152639   
  35.641792    -5.150917   
  36.6465      -5.146167   
  203.575625   50.488222   
  76.310667    -28.797028  
  310.063583   -0.8885     
  93.8205      71.051833   
  93.820375    71.051667   
  318.868625   -58.67175   
  318.868875   -58.67175   
  318.869292   -58.671056  
  318.870667   -58.6705    
  318.86925    -58.670972  
  227.466042   57.033639   
  217.591333   42.105      
  328.377792   17.708861   
  227.744708   5.718944    
  14.68725     -27.582056  
  14.683875    -27.985389  
  13.802125    -28.384583  
  14.222625    -28.384556  
  205.356625   0.371944    
  206.157083   -0.0285     
  205.356458   -0.427556   
  205.756375   -0.42775    
  206.156792   -0.427222   
  14.222542    -27.585222  
  13.801542    -27.982833  
  205.744833   0.427861    
  206.143458   -0.37125    
  206.144375   0.428333    
  147.69575    39.477167   
  149.207417   41.283611   
  169.626917   40.403361   
  169.781958   21.34925    
  216.907417   26.510417   
  228.698625   36.823      
  184.832458   6.672583    
  48.575417    -22.616111  
  219.754292   64.31925    
  203.990042   -34.320528  
  203.99       -34.320083  
  338.918542   -26.030778  
  87.648125    -32.250167  
  185.35325    30.151694   
  217.1375     42.643472   
  239.411417   27.3905     
  237.308333   27.036417   
  342.443458   -27.129417  
  62.305833    -71.268361  
  32.517792    -63.325806  
  174.617792   3.341278    
  2.880458     -11.491944  
  297.320292   77.713528   
  129.572333   48.659194   
  345.842417   8.865417    
  345.842458   8.8655      
  46.305417    17.492333   
  182.818667   39.165306   
  233.76875    1.321528    
  314.112833   -4.64875    
  174.750458   -37.711472  
  174.747667   -37.710167  
  216.514708   37.858556   
  178.827      23.436278   
  243.952625   -5.877528   
  243.652958   -6.177111   
  243.953125   -6.476389   
  63.165542    10.241361   
  208.57775    -2.390361   
  206.90525    58.184639   
  213.948917   11.467028   
  213.949917   11.467389   
  44.984417    13.763806   
  170.584333   24.3215     
  181.033333   20.2485     
  193.270042   -9.172111   
  181.045542   20.1935     
  181.049333   20.193944   
  187.647417   41.616083   
  28.229375    -13.722028  
  270.088833   66.600306   
  7.590417     4.877611    
  69.327       -47.223917  
  156.161292   -7.293528   
  321.158542   -33.95975   
  55.910458    24.742056   
  254.319917   79.004528   
  143.509083   55.209806   
  143.512667   55.209667   
  40.897917    37.322194   
  183.063167   13.234111   
  190.713042   13.286028   
  192.088583   8.515083    
  182.377167   43.713139   
  178.222333   36.957333   
  27.213667    5.922139    
  205.528542   35.626139   
  154.412708   21.660444   
  311.6055     -2.830528   
  21.859167    19.191889   
  239.793833   35.057389   
  183.582083   14.028556   
  130.364375   70.866694   
  166.642833   -18.38475   
  23.222417    -40.103278  
  187.805083   20.771167   
  187.805917   21.27175    
  187.805458   21.772528   
  16.124792    -6.4155     
  15.976333    -6.684611   
  36.855917    -4.185167   
  36.475833    -4.151583   
  36.189833    -4.183778   
  37.021417    -4.519056   
  35.9775      -4.483361   
  35.52075     -4.852694   
  36.355333    -4.518667   
  36.643417    -4.483583   
  172.115875   58.534389   
  159.690542   53.474472   
  148.742583   17.697778   
  172.532333   -14.85225   
  37.213958    -10.158361  
  172.979667   -34.577639  
  165.464875   -34.733694  
  352.931208   19.952278   
  74.878583    1.80725     
  48.966583    -55.350778  
  48.816875    -55.179083  
  48.81525     -55.264861  
  257.123958   78.730806   
  206.887042   -11.778472  
  249.010958   66.194444   
  104.55475    -55.932806  
  249.010833   66.194667   
  249.012917   66.19675    
  20.137875    -10.935139  
  46.326375    -78.044722  
  253.457792   39.734194   
  253.514458   14.275139   
  84.991917    -28.690361  
  89.945833    -50.447444  
  89.98925     -50.45575   
  89.9885      -50.456833  
  89.988417    -50.456917  
  89.981792    -50.4655    
  89.981792    -50.465472  
  89.979375    -50.466778  
  47.960083    -76.891361  
  116.065833   74.537944   
  84.732667    -64.113     
  348.459      -42.716167  
  12.460917    -52.124889  
  187.868542   64.211611   
  89.925125    -50.472611  
  161.142708   -1.44475    
  12.556292    -52.151889  
  12.467792    -52.129028  
  194.249167   21.999528   
  359.193167   -24.409417  
  194.273208   22.008111   
  194.245792   22.057556   
  8.451583     -12.109194  
  187.37975    1.965917    
  187.267875   2.001833    
  187.18825    2.095833    
  270.08825    81.12375    
  161.211167   21.493278   
  161.212125   21.49325    
  161.2        21.549556   
  48.988792    -55.250806  
  48.988292    -55.078889  
  89.944875    -50.417972  
  330.813875   18.861111   
  12.538042    -52.158139  
  12.567375    -52.171167  
  254.457167   35.370333   
  58.448125    -0.101111   
  197.595      30.352611   
  199.582167   32.653417   
  195.997458   67.4875     
  237.445875   21.459111   
  21.483167    -1.398833   
  190.66525    -11.350083  
  89.91975     -50.456111  
  89.944708    -50.428083  
  121.9375     38.977528   
  50.786083    -49.494944  
  73.701167    -18.164722  
  148.306625   -15.952361  
  151.870333   12.78875    
  54.223625    -36.004389  
  162.096125   -25.191028  
  102.524417   60.873472   
  211.738625   28.479917   
  194.758667   34.832639   
  194.76825    34.834056   
  194.761125   34.889472   
  148.727167   -20.412639  
  65.054792    -50.382194  
  65.054667    -50.382444  
  65.053375    -50.38275   
  64.967708    -50.369528  
  87.657708    -32.245     
  46.692167    9.72E-4     
  202.39575    58.446528   
  202.364042   58.4045     
  203.200667   50.569472   
  158.481708   58.809722   
  248.699083   70.537111   
  192.526208   26.490861   
  138.263708   52.962833   
  138.277667   52.966139   
  184.19275    -12.048861  
  331.211333   -64.747444  
  109.775208   65.986944   
  232.991917   24.311333   
  208.491      33.801167   
  168.840375   53.106722   
  129.049292   55.675222   
  103.133458   74.408417   
  223.6195     18.667417   
  228.931083   56.344694   
  220.9055     77.104444   
  254.455375   35.375944   
  254.454917   35.375722   
  238.356292   55.295944   
  118.153208   36.497944   
  238.339708   55.288306   
  213.691625   -0.372472   
  16.594708    -80.316917  
  170.840875   1.601556    
  187.733917   10.975917   
  241.4375     25.891194   
  162.603417   -12.818139  
  42.415       -31.207028  
  155.435792   13.090278   
  163.088625   44.121833   
  163.1        44.121639   
  35.479167    -2.81675    
  35.146292    -2.816694   
  35.3165      -5.149917   
  240.378833   66.779167   
  240.359375   66.787556   
  240.424042   66.773778   
  240.486167   66.815083   
  241.287125   17.722694   
  210.268208   2.850972    
  188.732167   37.656944   
  253.229125   2.423139    
  253.255917   2.375611    
  161.93725    74.301417   
  207.72425    64.511583   
  215.993333   38.510667   
  204.903333   27.47825    
  353.029      19.738972   
  356.878917   0.883444    
  184.712833   14.38875    
  160.194167   39.925694   
  204.410042   -12.929389  
  130.188625   13.233278   
  138.448708   40.913583   
  150.504625   55.728167   
  337.161792   20.600583   
  18.432417    -14.835306  
  146.434167   -14.352889  
  66.495875    -57.171639  
  66.507625    -57.229167  
  66.450417    -57.203889  
  66.48475     -57.172639  
  22.40675     -16.026306  
  149.076875   -10.075639  
  330.768458   18.897833   
  214.112208   23.288      
  354.154292   21.134028   
  25.323458    -67.900583  
  222.37225    8.97175     
  222.372625   8.971722    
  157.618583   5.386528    
  102.1335     -64.2455    
  213.811208   36.174444   
  73.602125    -53.372278  
  134.359625   9.036       
  190.041042   47.694194   
  216.163667   42.147806   
  123.612292   51.784722   
  181.279333   35.341639   
  132.680833   11.171278   
  216.156792   42.202972   
  8.919125     -43.313389  
  8.42375      -43.65325   
  8.921333     -43.655694  
  8.921375     -43.655722  
  8.422083     -43.304917  
  8.421917     -43.304889  
  8.920708     -43.65625   
  357.8865     -26.067417  
  140.166292   37.160028   
  356.181042   12.37625    
  139.710875   21.260611   
  339.949583   -5.856194   
  85.016833    -40.890972  
  81.297625    -33.740472  
  81.298208    -33.740306  
  81.29825     -33.740806  
  81.298208    -33.740639  
  81.298292    -33.740361  
  81.244458    -33.707444  
  222.3755     -10.197639  
  29.439125    37.785417   
  190.329792   18.547528   
  182.403417   42.56275    
  341.198875   -72.719722  
  164.831083   24.51625    
  223.49725    3.517528    
  38.638042    -8.766056   
  323.08875    10.150028   
  68.5215      -8.596611   
  214.324708   26.884      
  2.801542     -12.122861  
  110.530708   71.322333   
  320.831417   -5.816528   
  151.091708   5.190111    
  318.69625    6.145833    
  140.348542   30.192472   
  140.039833   30.470333   
  139.073333   30.390028   
  162.113833   -4.158694   
  202.356417   58.404      
  229.486917   31.434611   
  121.585542   15.48575    
  42.25075     18.028528   
  159.094792   -3.693778   
  200.022417   69.963222   
  58.686125    -20.522389  
  20.945042    -35.052611  
  146.537875   9.837972    
  146.523542   9.893389    
  175.3025     -1.746667   
  117.825333   50.236861   
  160.328125   6.143444    
  182.0235     25.207833   
  43.191333    -1.259556   
  212.241333   -7.903389   
  212.242875   -7.903472   
  355.144917   -11.722056  
  5.381        -48.658278  
  122.726083   28.17       
  222.7735     27.183833   
  329.352875   -69.699444  
  356.870125   -2.315917   
  204.572875   4.51425     
  10.287375    25.497556   
  29.114       5.601528    
  73.105583    -29.86975   
  19.699833    -0.985917   
  166.076417   77.011      
  340.446417   -44.067     
  236.360583   48.796333   
  339.008208   13.748972   
  157.165542   -8.772528   
  328.129792   2.372528    
  181.475708   44.458222   
  197.194917   21.479944   
  241.326833   32.845639   
  241.309458   32.841167   
  90.034458    -66.535194  
  90.046333    -66.538694  
  197.197042   21.480306   
  245.463333   -2.298556   
  229.265708   -16.164639  
  212.079542   -3.797389   
  198.086458   17.488806   
  189.590208   17.815833   
  318.744417   -43.372194  
  332.789375   -17.073861  
  324.083958   -54.537361  
  139.827792   69.232194   
  3.343625     -19.484611  
  301.958333   -44.560278  
  55.318583    -1.31525    
  331.734792   10.250611   
  19.058167    33.071472   
  52.694208    -3.153      
  305.0375     -52.635972  
  26.014083    2.333       
  203.659292   -23.418194  
  210.173625   -1.950417   
  23.407625    35.650972   
  27.534875    -7.4475     
  37.100333    -40.95525   
  161.565542   52.961667   
  37.7615      -1.026889   
  100.386958   -50.993944  
  186.60225    31.249472   
  164.126417   6.986639    
  164.115542   7.04225     
  164.1155     7.042583    
  164.119708   6.982056    
  164.119583   6.982139    
  164.119125   6.982083    
  135.113958   39.037472   
  5.385333     -8.672278   
  351.9625     8.795861    
  72.138625    -6.295583   
  141.641458   30.945833   
  201.545042   7.761778    
  20.382792    3.768694    
  37.931958    -7.496361   
  32.702125    -0.324944   
  252.221792   60.312528   
  100.80325    -74.252889  
  354.472667   -47.509139  
  322.9785     -42.861417  
  9.451542     -33.728528  
  9.388583     -33.708111  
  63.439625    11.184944   
  137.481625   54.459833   
  233.1895     32.685972   
  33.616625    -0.751333   
  156.1465     47.18125    
  21.408833    32.121611   
  61.271375    -37.214083  
  176.427167   -18.481833  
  323.036792   -33.732972  
  141.256875   52.308472   
  47.523167    17.081361   
  47.523083    17.081389   
  159.951833   -5.144611   
  78.027375    -32.677194  
  146.138542   3.940083    
  159.949083   -5.144917   
  160.181792   -11.958722  
  163.598792   -11.743028  
  145.922208   48.108917   
  145.908625   48.106972   
  73.521542    2.945556    
  185.638667   29.866222   
  197.334167   -1.651417   
  153.441833   -0.14975    
  8.924542     -27.447333  
  201.761667   1.363944    
  199.811125   -0.891722   
  202.650208   1.372861    
  214.230833   10.779611   
  45.789917    16.456583   
  40.252833    8.754972    
  0.937417     2.078667    
  5.150417     -25.69625   
  12.380833    -29.534472  
  32.890333    -40.297389  
  36.264583    -29.461111  
  56.456833    -41.233444  
  86.931792    -31.896222  
  91.468083    -35.272     
  94.225792    -47.833389  
  101.369417   -54.24775   
  125.453417   1.236806    
  161.134625   -7.044111   
  175.354417   -12.301139  
  189.187542   -33.931361  
  195.715833   -2.535056   
  207.679833   -33.693333  
  229.149333   -0.976      
  305.733583   -20.929444  
  312.021125   -17.824944  
  322.503042   -50.814     
  327.306708   -30.717417  
  328.084708   -19.721083  
  329.333583   -7.776944   
  334.400542   -35.711167  
  334.701583   -38.908778  
  338.661      -37.748722  
  349.834708   -73.218972  
  101.330917   -54.235667  
  149.59475    -11.087639  
  125.458042   1.239444    
  189.177708   -33.875694  
  1.478833     -34.716889  
  150.326083   68.667056   
  153.593917   -4.338611   
  172.315292   -4.373444   
  258.804583   62.642139   
  261.193667   66.6385     
  264.209917   66.017222   
  261.167333   66.625472   
  33.945167    -73.813444  
  34.062208    -73.948528  
  33.641625    -73.950222  
  181.341417   -7.680972   
  5.388        -2.074528   
  350.555625   19.724167   
  190.551083   33.256889   
  190.551708   33.256778   
  3.9035       17.312083   
